Region,Location,Nesting Season Length (d),SCL,CCL,CCW,Clutch Size,Reference
Arabian Gulf,Qatar,52,,73,67,114,Ours
Arabian Gulf,Qatar,52,,68,62,76,Ours
Arabian Gulf,Qatar,52,,69,64.5,61,Ours
Arabian Gulf,Qatar,52,,72.5,62,67,Ours
Arabian Gulf,Qatar,52,,69.5,64,75,Ours
Arabian Gulf,Qatar,52,,72,66,,Ours
Arabian Gulf,Qatar,52,,73,65.5,63,Ours
Arabian Gulf,Qatar,52,,73.5,66.5,80,Ours
Arabian Gulf,Qatar,47,,68,64.5,101,Ours
Arabian Gulf,Qatar,47,,67.5,64,78,Ours
Arabian Gulf,Qatar,47,,80,74,111,Ours
Arabian Gulf,Qatar,47,,69.5,63.5,106,Ours
Arabian Gulf,Qatar,47,,70.5,65.5,70,Ours
Arabian Gulf,Qatar,47,,70.5,65.5,59,Ours
Arabian Gulf,Qatar,47,,77.5,70.5,97,Ours
Arabian Gulf,Qatar,47,,72,64.5,100,Ours
Arabian Gulf,Qatar,47,,73.5,68,61,Ours
Arabian Gulf,Qatar,47,,69.5,63.5,78,Ours
Arabian Gulf,Qatar,47,,70.5,65.5,78,Ours
Arabian Gulf,Qatar,47,,71.5,66.5,75,Ours
Arabian Gulf,Qatar,47,,73.5,68,101,Ours
Arabian Gulf,Qatar,47,,72,64.5,79,Ours
Arabian Gulf,Qatar,47,,78.5,68.5,51,Ours
Arabian Gulf,Qatar,47,,66.5,60,67,Ours
Arabian Gulf,Qatar,47,,73,68,101,Ours
Arabian Gulf,Qatar,47,,69.5,63.5,87,Ours
Arabian Gulf,Qatar,47,,73.5,68,52,Ours
Arabian Gulf,Qatar,47,,69,59.5,68,Ours
Arabian Gulf,Qatar,47,,72,64.5,88,Ours
Arabian Gulf,Qatar,47,,71.5,65.5,84,Ours
Arabian Gulf,Qatar,47,,71,64,96,Ours
Arabian Gulf,Qatar,47,,70,67,46,Ours
Arabian Gulf,Qatar,47,,73.5,69,84,Ours
Arabian Gulf,Qatar,47,,70,67,80,Ours
Arabian Gulf,Qatar,47,,69,66.5,110,Ours
Arabian Gulf,Qatar,47,,71,64,73,Ours
Arabian Gulf,Qatar,47,,73.5,69,102,Ours
Arabian Gulf,Qatar,47,,71.5,66,101,Ours
Arabian Gulf,Qatar,47,,73,69,83,Ours
Arabian Gulf,Qatar,47,,71,64,86,Ours
Arabian Gulf,Qatar,47,,73.5,69,101,Ours
Arabian Gulf,Qatar,47,,69,62,78,Ours
Arabian Gulf,Qatar,47,,73.5,69,106,Ours
Arabian Gulf,Qatar,48,,69,65.5,106,Ours
Arabian Gulf,Qatar,48,,73,66.5,87,Ours
Arabian Gulf,Qatar,48,,66,63,54,Ours
Arabian Gulf,Qatar,48,,74,64,110,Ours
Arabian Gulf,Qatar,48,,67,63,68,Ours
Arabian Gulf,Qatar,48,,70,66,96,Ours
Arabian Gulf,Qatar,48,,73,66.5,83,Ours
Arabian Gulf,Qatar,48,,69,65.5,82,Ours
Arabian Gulf,Qatar,48,,68,62,96,Ours
Arabian Gulf,Qatar,48,,71.5,63,69,Ours
Arabian Gulf,Qatar,48,,69,65,74,Ours
Arabian Gulf,Qatar,48,,73,66.5,83,Ours
Arabian Gulf,Qatar,48,,69,65.5,61,Ours
Arabian Gulf,Qatar,48,,66,65,90,Ours
Arabian Gulf,Qatar,48,,73,66.5,76,Ours
Arabian Gulf,Qatar,44,,69,63,99,Ours
Arabian Gulf,Qatar,44,,70.5,65,86,Ours
Arabian Gulf,Qatar,44,,69,62.2,86,Ours
Arabian Gulf,Qatar,44,,70.8,64.2,86,Ours
Arabian Gulf,Qatar,44,,71.2,63.2,92,Ours
Arabian Gulf,Qatar,44,,72.3,66.2,97,Ours
Arabian Gulf,Qatar,44,,67,59,61,Ours
Arabian Gulf,Qatar,44,,74.6,63.3,102,Ours
Arabian Gulf,Qatar,44,,64.4,59.4,69,Ours
Arabian Gulf,Qatar,44,,69.2,64.5,79,Ours
Arabian Gulf,Qatar,44,,69.8,64,71,Ours
Arabian Gulf,Qatar,44,,73,66,69,Ours
Arabian Gulf,Qatar,44,,67.6,68.8,88,Ours
Arabian Gulf,Qatar,44,,73,67,82,Ours
Arabian Gulf,Qatar,44,,70.5,65,63,Ours
Arabian Gulf,Qatar,44,,71.2,63.2,85,Ours
Arabian Gulf,Qatar,44,,71,62.4,84,Ours
Arabian Gulf,Qatar,44,,67,59,73,Ours
Arabian Gulf,Qatar,44,,79.3,73.2,86,Ours
Arabian Gulf,Qatar,44,,69.2,64.5,87,Ours
Arabian Gulf,Qatar,44,,71.1,66,86,Ours
Arabian Gulf,Qatar,44,,67.5,58.2,128,Ours
Arabian Gulf,Qatar,44,,69.3,62.2,48,Ours
